size,add,removeResource,removeResourceDate,usersFromResource,usersFromResourceDate,mostQueried,resourceFromUser
5000,10,6,7,7,7,0,75
5000,9,6,10,6,7,1,122
5000,8,18,27,15,14,0,138
10000,11,8,9,4,4,1,79
10000,26,9,10,5,4,0,80
10000,13,9,12,6,6,1,151
15000,34,11,13,6,5,1,111
15000,34,15,16,4,4,0,159
15000,13,11,14,5,4,1,105
20000,22,17,21,5,5,0,170
20000,31,17,17,6,3,1,140
20000,33,17,18,5,4,0,129
