size,add,removeResource,removeResourceDate,usersFromResource,usersFromResourceDate,usersFromResourceDateRange,mostQueried,resourceFromUser,userConsultedResource
2,94,0,0,0,0,15,0,0,0
4,110,0,0,0,0,0,0,0,0
8,110,0,0,0,0,0,0,0,0
16,111,0,0,0,0,0,0,0,0
32,94,0,0,0,0,0,0,16,0
64,93,0,0,15,0,0,0,32,0
128,109,0,0,0,0,15,0,141,0
256,172,0,16,31,16,15,16,3266,0
512,157,16,0,62,47,47,31,7610,31
1024,203,15,16,94,109,78,110,20499,79
2048,250,46,32,188,218,172,109,116765,203
