size,add,removeResource,removeResourceDate,usersFromResource,usersFromResourceDate,mostQueried,resourceFromUser
5000,34,3,3,10,10,1,8
5000,49,3,6,17,14,0,18
5000,98,14,25,11,10,1,7
10000,177,7,13,7,3,1,8
10000,153,17,11,7,5,0,9
10000,114,8,11,6,6,1,11
