size,add,removeResource,removeResourceDate,usersFromResource,usersFromResourceDate,mostQueried,resourceFromUser
5000,40,3,9,11,11,1,7
5000,50,4,7,13,18,1,20
5000,84,16,21,11,11,0,8
10000,102,10,13,8,4,0,7
10000,191,20,11,6,6,1,14
10000,143,15,13,9,5,0,9
15000,345,19,27,7,10,0,16
15000,325,18,26,8,7,0,20
15000,261,19,26,11,6,0,14
20000,476,33,53,13,8,0,30
20000,585,28,55,9,13,0,25
20000,618,27,66,13,10,0,26
